Site,Partition,&alpha; ,&beta;<sup>-</sup>,p<sup>-</sup>,&beta;<sup>+</sup>,p<sup>+</sup>,LRT,p-value,# branches under selection,Total branch length
1801,1,0.91,0.01,0.04,0.01,0.96,0.00,0.67,0.00,5.80
1802,1,1.02,0.00,0.05,0.00,0.95,0.00,0.67,0.00,6.15
1803,1,0.54,0.00,0.02,0.00,0.98,0.00,0.67,0.00,3.25
1804,1,1.00,0.00,0.10,0.00,0.90,0.00,0.67,0.00,6.07
1805,1,0.89,0.04,0.00,0.02,1.00,0.00,0.67,0.00,5.73
1806,1,8.26,0.00,0.02,0.00,0.98,0.00,0.67,0.00,49.86
1807,1,1.51,0.71,0.10,0.00,0.90,0.00,0.67,0.00,10.63
1808,1,1.35,0.00,0.07,0.00,0.93,0.00,0.67,0.00,8.18
1809,1,0.98,0.00,0.17,0.00,0.83,0.00,0.67,0.00,5.94
1810,1,0.80,0.00,0.13,0.00,0.87,0.00,0.67,0.00,4.86
1811,1,1.18,0.00,0.11,0.00,0.89,0.00,0.67,0.00,7.12
1812,1,0.23,0.00,0.05,0.00,0.95,0.00,0.67,0.00,1.37
1813,1,0.83,0.05,0.00,0.05,1.00,0.00,0.67,0.00,6.10
1814,1,0.74,0.00,0.26,0.00,0.74,0.00,0.67,0.00,4.47
1815,1,0.24,0.00,0.20,0.00,0.80,0.00,0.67,0.00,1.43
1816,1,0.72,0.00,0.14,0.00,0.86,0.00,0.67,0.00,4.36
1817,1,0.67,0.04,0.00,0.04,1.00,0.00,0.67,0.00,4.96
1818,1,0.89,0.09,0.00,0.09,1.00,0.00,0.67,0.00,7.34
1819,1,1.20,0.00,0.05,0.00,0.95,0.00,0.67,0.00,7.22
1820,1,0.95,0.00,0.05,0.00,0.95,0.00,0.67,0.00,5.74
1821,1,0.92,0.00,0.18,0.00,0.82,0.00,0.67,0.00,5.57
1822,1,0.81,0.09,0.03,0.06,0.97,0.00,0.67,0.00,6.26
1823,1,1.20,0.00,0.19,0.00,0.81,0.00,0.67,0.00,7.26
1824,1,0.22,0.02,0.03,0.02,0.97,0.00,0.67,0.00,1.69
1825,1,1.33,0.00,0.04,0.00,0.96,0.00,0.67,0.00,8.02
1826,1,0.25,0.00,0.02,0.00,0.98,0.00,0.67,0.00,1.49
1827,1,0.71,0.00,0.26,0.00,0.74,0.00,0.67,0.00,4.31
1828,1,0.57,0.00,0.21,0.00,0.79,0.00,0.67,0.00,3.43
1829,1,1.42,0.06,0.24,0.06,0.76,0.00,0.67,0.00,9.83
1830,1,0.43,0.43,0.04,0.00,0.96,0.00,0.67,0.00,3.02
1831,1,0.24,0.00,0.01,0.00,0.99,0.00,0.67,0.00,1.46
1832,1,2.32,0.00,0.05,0.00,0.95,0.00,0.67,0.00,14.00
1833,1,0.25,0.00,0.03,0.00,0.97,0.00,0.67,0.00,1.49
1834,1,1.35,0.00,0.04,0.00,0.96,0.00,0.67,0.00,8.15
1835,1,1.57,1.28,0.03,0.00,0.97,0.00,0.67,0.00,10.25
1836,1,1.11,0.02,0.00,0.02,1.00,0.00,0.67,0.00,7.10
1837,1,1.65,0.00,0.18,0.00,0.82,0.00,0.67,0.00,9.99
1838,1,0.88,0.74,0.16,0.00,0.84,0.00,0.67,0.00,7.82
1839,1,0.25,0.10,0.00,0.10,1.00,0.00,0.67,0.00,3.62
1840,1,2.34,0.12,0.04,0.12,0.96,0.00,0.67,0.00,16.77
1841,1,1.28,0.07,0.05,0.07,0.95,0.00,0.67,0.00,9.16
1842,1,0.24,0.00,0.02,0.00,0.98,0.00,0.67,0.00,1.46
1843,1,0.00,0.00,0.00,0.07,1.00,0.63,0.39,1.00,1.55
1844,1,0.84,0.00,0.19,0.00,0.81,0.00,0.67,0.00,5.09
1845,1,1.60,0.00,0.11,0.00,0.89,0.00,0.67,0.00,9.65
1846,1,1.64,1.64,0.06,0.07,0.94,0.00,0.67,0.00,13.64
1847,1,2.24,2.24,0.32,0.00,0.68,0.00,0.67,0.00,28.78
1848,1,1.77,0.30,0.55,0.10,0.45,0.00,0.67,0.00,15.27
1849,1,3.04,0.58,0.48,0.28,0.52,0.00,0.67,0.00,27.46
1850,1,1.47,1.47,0.25,0.07,0.75,0.00,0.67,0.00,17.93
1851,1,9.07,0.84,0.52,0.00,0.48,0.00,0.67,0.00,64.15
1852,1,0.76,0.00,0.20,0.00,0.80,0.00,0.67,0.00,4.61
1853,1,2.37,0.19,0.19,0.19,0.81,0.00,0.67,0.00,18.52
1854,1,1.77,1.77,0.26,0.00,0.74,0.00,0.67,0.00,20.50
1855,1,1.43,0.80,0.10,0.04,0.90,0.00,0.67,0.00,11.06
1856,1,0.88,0.05,0.04,0.05,0.96,0.00,0.67,0.00,6.43
1857,1,1.38,0.36,0.28,0.21,0.72,0.00,0.67,0.00,13.83
1858,1,1.54,1.54,0.26,0.09,0.74,0.00,0.67,0.00,19.49
1859,1,1.02,0.11,0.00,0.11,1.00,0.00,0.67,0.00,8.52
1860,1,1.51,0.08,0.10,0.08,0.90,0.00,0.67,0.00,10.82
1861,1,1.07,0.75,0.46,0.01,0.54,0.00,0.67,0.00,14.09
1862,1,1.15,0.11,0.00,0.11,1.00,0.00,0.67,0.00,9.35
1863,1,0.82,0.82,0.19,0.00,0.81,0.00,0.67,0.00,8.36
1864,1,2.12,2.12,0.10,0.00,0.90,0.00,0.67,0.00,17.21
1865,1,0.84,0.08,0.03,0.04,0.97,0.00,0.67,0.00,6.02
1866,1,0.25,0.00,0.11,0.00,0.89,0.00,0.67,0.00,1.52
1867,1,0.50,0.00,0.15,0.00,0.85,0.00,0.67,0.00,3.01
1868,1,0.58,0.00,0.04,0.00,0.96,0.00,0.67,0.00,3.51
1869,1,0.76,0.02,0.00,0.02,1.00,0.00,0.67,0.00,4.98
1870,1,1.53,0.00,0.05,0.00,0.95,0.00,0.67,0.00,9.26
1871,1,2.49,0.00,0.05,0.00,0.95,0.00,0.67,0.00,15.06
1872,1,2.71,0.00,0.02,0.00,0.98,0.00,0.67,0.00,16.37
1873,1,1.66,0.00,0.01,0.00,0.99,0.00,0.67,0.00,10.01
1874,1,1.07,0.00,0.05,0.00,0.95,0.00,0.67,0.00,6.44
1875,1,0.73,0.00,0.19,0.00,0.81,0.00,0.67,0.00,4.40
1876,1,4.28,0.00,0.02,0.00,0.98,0.00,0.67,0.00,25.86
1877,1,0.49,0.00,0.11,0.00,0.89,0.00,0.67,0.00,2.94
1878,1,1.54,0.00,0.05,0.00,0.95,0.00,0.67,0.00,9.33
1879,1,1.29,0.00,0.10,0.00,0.90,0.00,0.67,0.00,7.78
1880,1,1.58,0.00,0.18,0.00,0.82,0.00,0.67,0.00,9.57
1881,1,1.22,0.00,0.18,0.00,0.82,0.00,0.67,0.00,7.38
1882,1,11.65,0.00,0.02,0.00,0.98,0.00,0.67,0.00,70.38
1883,1,10.82,0.00,0.02,0.00,0.98,0.00,0.67,0.00,65.34
1884,1,1.60,0.00,0.10,0.00,0.90,0.00,0.67,0.00,9.67
1885,1,0.00,0.00,0.05,0.02,0.95,0.16,0.55,1.00,0.31
1886,1,1.09,0.00,0.09,0.00,0.91,0.00,0.67,0.00,6.57
1887,1,1.49,0.00,0.19,0.00,0.81,0.00,0.67,0.00,8.97
1888,1,1.35,0.02,0.00,0.01,1.00,0.00,0.67,0.00,8.46
1889,1,1711.47,0.00,0.02,0.00,0.98,0.00,0.67,0.00,10335.37
1890,1,1.80,0.00,0.10,0.00,0.90,0.00,0.67,0.00,10.85
1891,1,0.57,0.00,0.22,0.00,0.78,0.00,0.67,0.00,3.44
1892,1,0.97,0.03,0.03,0.03,0.97,0.00,0.67,0.00,6.51
1893,1,0.87,0.00,0.26,0.00,0.74,0.00,0.67,0.00,5.25
1894,1,0.88,0.00,0.20,0.00,0.80,0.00,0.67,0.00,5.30
1895,1,0.94,0.19,0.83,0.19,0.17,0.00,0.67,0.00,9.76
1896,1,1.79,0.00,0.11,0.00,0.89,0.00,0.67,0.00,10.83
1897,1,0.94,0.55,0.06,0.00,0.94,0.00,0.67,0.00,6.39
1898,1,1.41,0.20,0.06,0.20,0.94,0.00,0.67,0.00,12.73
1899,1,1.04,0.02,0.00,0.02,1.00,0.00,0.67,0.00,6.63
1900,1,1.17,0.12,0.00,0.12,1.00,0.00,0.67,0.00,9.68
1901,1,1.20,0.29,0.55,0.00,0.45,0.00,0.67,0.00,10.72
1902,1,0.47,0.47,0.46,0.44,0.54,0.00,0.67,0.00,12.61
1903,1,1.37,1.37,0.12,0.07,0.88,0.00,0.67,0.00,13.06
1904,1,0.67,0.67,0.44,0.00,0.56,0.00,0.67,0.00,10.46
1905,1,0.68,0.23,0.39,0.00,0.61,0.00,0.67,0.00,6.03
1906,1,1.27,1.27,0.28,0.15,0.72,0.00,0.67,0.00,17.58
1907,1,0.95,0.08,0.26,0.08,0.74,0.00,0.67,0.00,7.50
1908,1,1.28,0.05,0.04,0.05,0.96,0.00,0.67,0.00,8.90
1909,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
1910,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
1911,1,0.11,0.03,0.00,0.03,1.00,0.00,0.67,0.00,1.40
1912,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
1913,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
1914,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
1915,1,0.57,0.05,0.00,0.04,1.00,0.00,0.67,0.00,4.41
1916,1,0.32,0.00,0.02,0.00,0.98,0.00,0.67,0.00,1.95
1917,1,2.97,0.00,0.01,0.00,0.99,0.00,0.67,0.00,17.93
1918,1,0.15,0.00,0.05,0.00,0.95,0.00,0.67,0.00,0.89
1919,1,1.60,0.00,0.02,0.00,0.98,0.00,0.67,0.00,9.65
1920,1,0.26,0.00,0.11,0.00,0.89,0.00,0.67,0.00,1.57
1921,1,0.65,0.65,0.08,0.00,0.92,0.00,0.67,0.00,4.96
1922,1,0.39,0.00,0.05,0.00,0.95,0.00,0.67,0.00,2.37
1923,1,0.56,0.00,0.15,0.00,0.85,0.00,0.67,0.00,3.37
1924,1,0.59,0.00,0.02,0.00,0.98,0.00,0.67,0.00,3.58
1925,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
1926,1,0.15,0.00,0.05,0.00,0.95,0.00,0.67,0.00,0.88
1927,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
1928,1,1.67,0.05,0.00,0.05,1.00,0.00,0.67,0.00,11.18
1929,1,0.61,0.00,0.19,0.00,0.81,0.00,0.67,0.00,3.70
1930,1,1.14,0.00,0.24,0.00,0.76,0.00,0.67,0.00,6.88
1931,1,2.45,0.00,0.10,0.00,0.90,0.00,0.67,0.00,14.79
1932,1,9.16,0.00,0.02,0.00,0.98,0.00,0.67,0.00,55.32
1933,1,2.06,0.00,0.05,0.00,0.95,0.00,0.67,0.00,12.44
1934,1,0.60,0.00,0.15,0.00,0.85,0.00,0.67,0.00,3.60
1935,1,0.62,0.04,0.11,0.04,0.89,0.00,0.67,0.00,4.67
1936,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
1937,1,5.41,0.00,0.02,0.00,0.98,0.00,0.67,0.00,32.64
1938,1,0.23,0.23,0.38,0.00,0.62,0.00,0.67,0.00,3.26
1939,1,0.65,0.65,0.04,0.00,0.96,0.00,0.67,0.00,4.53
1940,1,0.97,0.08,0.00,0.08,1.00,0.00,0.67,0.00,7.53
1941,1,0.72,0.05,0.00,0.05,1.00,0.00,0.67,0.00,5.33
1942,1,1.54,1.54,0.05,0.00,0.95,0.00,0.67,0.00,11.08
1943,1,1.83,1.83,0.06,0.00,0.94,0.00,0.67,0.00,13.21
1944,1,0.97,0.03,0.00,0.03,1.00,0.00,0.67,0.00,6.53
1945,1,0.00,0.00,0.00,0.02,1.00,0.29,0.49,0.00,0.35
1946,1,1.29,0.02,0.08,0.02,0.92,0.00,0.67,0.00,8.18
1947,1,0.33,0.02,0.00,0.01,1.00,0.00,0.67,0.00,2.31
1948,1,0.68,0.07,0.06,0.03,0.94,0.00,0.67,0.00,4.89
1949,1,4.65,0.03,0.17,0.03,0.83,0.00,0.67,0.00,28.69
1950,1,2.45,0.07,0.17,0.07,0.83,0.00,0.67,0.00,16.30
1951,1,0.26,0.26,0.88,5.28,0.12,1.73,0.21,0.00,20.69
1952,1,1.48,0.07,0.05,0.07,0.95,0.00,0.67,0.00,10.37
1953,1,2.17,0.00,0.05,0.00,0.95,0.00,0.67,0.00,13.12
1954,1,1.10,0.16,0.11,0.03,0.89,0.00,0.67,0.00,7.65
1955,1,0.64,0.33,0.17,0.06,0.83,0.00,0.67,0.00,6.14
1956,1,1.57,0.00,0.18,0.00,0.82,0.00,0.67,0.00,9.45
1957,1,3.20,2.55,0.02,0.00,0.98,0.00,0.67,0.00,20.44
1958,1,2.31,0.00,0.09,0.00,0.91,0.00,0.67,0.00,13.94
1959,1,0.99,0.06,0.00,0.06,1.00,0.00,0.67,0.00,7.22
1960,1,9.38,0.03,0.00,0.03,1.00,0.00,0.67,0.00,57.29
1961,1,1.32,0.09,0.00,0.08,1.00,0.00,0.67,0.00,9.73
1962,1,32.11,0.29,0.06,0.11,0.94,0.00,0.67,0.00,196.51
1963,1,5.68,0.00,0.02,0.00,0.98,0.00,0.67,0.00,34.33
1964,1,1.63,1.63,0.05,0.00,0.95,0.00,0.67,0.00,11.49
1965,1,0.14,0.00,0.05,0.00,0.95,0.00,0.67,0.00,0.84
1966,1,0.82,0.00,0.19,0.00,0.81,0.00,0.67,0.00,4.94
1967,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
1968,1,0.27,0.00,0.11,0.00,0.89,0.00,0.67,0.00,1.62
1969,1,1.63,0.00,0.10,0.00,0.90,0.00,0.67,0.00,9.86
1970,1,0.95,0.00,0.03,0.00,0.97,0.00,0.67,0.00,5.75
1971,1,0.80,0.29,0.06,0.00,0.94,0.00,0.67,0.00,5.23
1972,1,30.04,1.02,0.12,0.00,0.88,0.00,0.67,0.00,183.99
1973,1,0.15,0.00,0.02,0.00,0.98,0.00,0.67,0.00,0.91
1974,1,1.10,0.00,0.01,0.00,0.99,0.00,0.67,0.00,6.62
1975,1,0.61,0.08,0.11,0.08,0.89,0.00,0.67,0.00,5.42
1976,1,0.34,0.34,0.11,0.00,0.89,0.00,0.67,0.00,2.91
1977,1,0.90,0.00,0.18,0.00,0.82,0.00,0.67,0.00,5.46
1978,1,0.56,0.56,0.08,0.00,0.92,0.00,0.67,0.00,4.37
1979,1,1.93,0.51,0.51,0.00,0.49,0.00,0.67,0.00,17.36
1980,1,9.30,0.00,0.02,0.00,0.98,0.00,0.67,0.00,56.17
1981,1,1.46,0.00,0.10,0.00,0.90,0.00,0.67,0.00,8.81
1982,1,4.93,0.69,0.10,0.00,0.90,0.00,0.67,0.00,31.21
1983,1,1.89,0.11,0.00,0.11,1.00,0.00,0.67,0.00,13.83
1984,1,1.41,0.00,0.18,0.00,0.82,0.00,0.67,0.00,8.54
1985,1,0.93,0.00,0.11,0.00,0.89,0.00,0.67,0.00,5.62
1986,1,2.92,0.00,0.05,0.00,0.95,0.00,0.67,0.00,17.61
1987,1,0.88,0.00,0.10,0.00,0.90,0.00,0.67,0.00,5.30
1988,1,0.56,0.00,0.05,0.00,0.95,0.00,0.67,0.00,3.40
1989,1,1.66,0.00,0.10,0.00,0.90,0.00,0.67,0.00,10.00
1990,1,1.16,0.50,0.04,0.00,0.96,0.00,0.67,0.00,7.45
1991,1,2.76,0.00,0.01,0.00,0.99,0.00,0.67,0.00,16.65
1992,1,1.68,0.00,0.17,0.00,0.83,0.00,0.67,0.00,10.12
1993,1,1.41,0.00,0.05,0.00,0.95,0.00,0.67,0.00,8.52
1994,1,3.62,0.00,0.05,0.00,0.95,0.00,0.67,0.00,21.84
1995,1,7.38,0.83,0.04,0.00,0.96,0.00,0.67,0.00,45.33
1996,1,2.99,0.00,0.02,0.00,0.98,0.00,0.67,0.00,18.06
1997,1,6.16,0.00,0.02,0.00,0.98,0.00,0.67,0.00,37.20
1998,1,3.27,0.01,0.09,0.01,0.91,0.00,0.67,0.00,20.09
1999,1,1.99,0.03,0.08,0.03,0.92,0.00,0.67,0.00,12.59
2000,1,0.45,0.27,0.37,0.00,0.63,0.00,0.67,0.00,4.90
2001,1,2.18,0.00,0.18,0.00,0.82,0.00,0.67,0.00,13.14
2002,1,1.47,0.00,0.17,0.00,0.83,0.00,0.67,0.00,8.88
2003,1,1.63,0.39,0.29,0.00,0.71,0.00,0.67,0.00,12.29
2004,1,2.19,0.00,0.13,0.00,0.87,0.00,0.67,0.00,13.23
2005,1,9.43,0.00,0.02,0.00,0.98,0.00,0.67,0.00,56.96
2006,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
2007,1,0.96,0.04,0.16,0.04,0.84,0.00,0.67,0.00,6.75
2008,1,3.18,0.05,0.00,0.05,1.00,0.00,0.67,0.00,20.25
2009,1,1.48,0.00,0.05,0.00,0.95,0.00,0.67,0.00,8.96
2010,1,0.81,0.00,0.18,0.00,0.82,0.00,0.67,0.00,4.88
2011,1,0.34,0.00,0.15,0.00,0.85,0.00,0.67,0.00,2.08
2012,1,2.86,0.00,0.03,0.00,0.97,0.00,0.67,0.00,17.27
2013,1,0.69,0.00,0.11,0.00,0.89,0.00,0.67,0.00,4.16
2014,1,0.22,0.00,0.14,0.00,0.86,0.00,0.67,0.00,1.36
2015,1,1.17,0.51,0.09,0.00,0.91,0.00,0.67,0.00,8.04
2016,1,2.07,0.00,0.02,0.00,0.98,0.00,0.67,0.00,12.53
2017,1,6.31,0.00,0.02,0.00,0.98,0.00,0.67,0.00,38.11
2018,1,16.27,0.00,0.02,0.00,0.98,0.00,0.67,0.00,98.25
2019,1,0.34,0.00,0.05,0.00,0.95,0.00,0.67,0.00,2.04
2020,1,0.91,0.00,0.17,0.00,0.83,0.00,0.67,0.00,5.51
2021,1,2.33,0.00,0.17,0.00,0.83,0.00,0.67,0.00,14.08
2022,1,2.21,0.09,0.03,0.09,0.97,0.00,0.67,0.00,15.29
2023,1,1.02,1.02,0.05,0.00,0.95,0.00,0.67,0.00,7.31
2024,1,1.06,0.00,0.02,0.00,0.98,0.00,0.67,0.00,6.39
2025,1,2.21,0.00,0.14,0.00,0.86,0.00,0.67,0.00,13.34
2026,1,5.31,0.00,0.02,0.00,0.98,0.00,0.67,0.00,32.06
2027,1,1.53,0.00,0.02,0.00,0.98,0.00,0.67,0.00,9.21
2028,1,0.70,0.70,0.11,0.00,0.89,0.00,0.67,0.00,5.93
2029,1,16.26,0.00,0.02,0.00,0.98,0.00,0.67,0.00,98.21
2030,1,0.14,0.00,0.05,0.00,0.95,0.00,0.67,0.00,0.84
2031,1,0.59,0.13,0.28,0.13,0.72,0.00,0.67,0.00,6.36
2032,1,2.56,0.00,0.05,0.00,0.95,0.00,0.67,0.00,15.45
2033,1,1.51,0.09,0.02,0.07,0.98,0.00,0.67,0.00,10.67
2034,1,16.52,0.00,0.02,0.00,0.98,0.00,0.67,0.00,99.73
2035,1,3.20,0.49,0.04,0.00,0.96,0.00,0.67,0.00,19.76
2036,1,2.27,1.11,0.08,0.00,0.92,0.00,0.67,0.00,15.51
2037,1,0.78,0.78,0.12,0.05,0.88,0.00,0.67,0.00,7.70
2038,1,2.06,0.67,0.09,0.00,0.91,0.00,0.67,0.00,13.79
2039,1,1.05,0.00,0.09,0.00,0.91,0.00,0.67,0.00,6.34
2040,1,0.91,0.20,0.54,0.00,0.46,0.00,0.67,0.00,7.85
2041,1,0.83,0.83,0.07,0.00,0.93,0.00,0.67,0.00,6.34
2042,1,0.31,0.00,0.05,0.00,0.95,0.00,0.67,0.00,1.87
2043,1,3.55,0.00,0.05,0.00,0.95,0.00,0.67,0.00,21.41
2044,1,14.11,0.00,0.05,0.00,0.95,0.00,0.67,0.00,85.23
2045,1,6.10,0.00,0.02,0.00,0.98,0.00,0.67,0.00,36.85
2046,1,1.14,0.00,0.05,0.00,0.95,0.00,0.67,0.00,6.90
2047,1,1.30,0.00,0.02,0.00,0.98,0.00,0.67,0.00,7.83
2048,1,0.79,0.00,0.11,0.00,0.89,0.00,0.67,0.00,4.77
2049,1,1.16,0.00,0.02,0.00,0.98,0.00,0.67,0.00,6.98
2050,1,3.14,0.00,0.11,0.00,0.89,0.00,0.67,0.00,18.99
2051,1,2.00,0.24,0.08,0.00,0.92,0.00,0.67,0.00,12.45
2052,1,2.68,0.24,0.32,0.00,0.68,0.00,0.67,0.00,17.90
2053,1,1.00,0.00,0.05,0.00,0.95,0.00,0.67,0.00,6.04
2054,1,2.42,0.99,0.03,0.00,0.97,0.00,0.67,0.00,15.27
2055,1,0.00,0.00,0.08,0.02,0.92,0.21,0.52,0.00,0.31
2056,1,1.22,0.32,0.06,0.00,0.94,0.00,0.67,0.00,7.79
2057,1,1.08,0.00,0.05,0.00,0.95,0.00,0.67,0.00,6.54
2058,1,1.17,0.02,0.00,0.01,1.00,0.00,0.67,0.00,7.37
2059,1,0.59,0.00,0.10,0.00,0.90,0.00,0.67,0.00,3.58
2060,1,3.14,0.10,0.01,0.10,0.99,0.00,0.67,0.00,21.08
2061,1,0.26,0.00,0.03,0.00,0.97,0.00,0.67,0.00,1.58
2062,1,3.04,0.02,0.05,0.02,0.95,0.00,0.67,0.00,18.73
2063,1,1.17,0.00,0.10,0.00,0.90,0.00,0.67,0.00,7.05
2064,1,1.52,0.00,0.05,0.00,0.95,0.00,0.67,0.00,9.20
2065,1,0.87,0.05,0.07,0.05,0.93,0.00,0.67,0.00,6.22
2066,1,2.97,0.00,0.01,0.01,0.99,0.00,0.67,0.00,18.20
2067,1,1.26,0.00,0.17,0.00,0.83,0.00,0.67,0.00,7.61
2068,1,9.17,0.00,0.02,0.00,0.98,0.00,0.67,0.00,55.39
2069,1,0.61,0.00,0.20,0.00,0.80,0.00,0.67,0.00,3.69
2070,1,0.26,0.00,0.05,0.00,0.95,0.00,0.67,0.00,1.56
2071,1,0.35,0.00,0.02,0.00,0.98,0.00,0.67,0.00,2.11
2072,1,0.83,0.51,0.17,0.00,0.83,0.00,0.67,0.00,6.90
2073,1,1.42,0.07,0.00,0.07,1.00,0.00,0.67,0.00,10.10
2074,1,0.59,0.00,0.05,0.00,0.95,0.00,0.67,0.00,3.55
2075,1,1.89,1.89,0.02,0.00,0.98,0.00,0.67,0.00,12.42
2076,1,0.70,0.07,0.00,0.07,1.00,0.00,0.67,0.00,5.79
2077,1,0.68,0.00,0.20,0.00,0.80,0.00,0.67,0.00,4.11
2078,1,1.01,0.06,0.01,0.05,0.99,0.00,0.67,0.00,7.27
2079,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
2080,1,0.81,0.00,0.19,0.00,0.81,0.00,0.67,0.00,4.91
2081,1,2.09,0.00,0.20,0.00,0.80,0.00,0.67,0.00,12.60
2082,1,0.71,0.00,0.20,0.00,0.80,0.00,0.67,0.00,4.31
2083,1,0.88,0.07,0.01,0.01,0.99,0.00,0.67,0.00,5.62
2084,1,0.65,0.00,0.27,0.00,0.73,0.00,0.67,0.00,3.90
2085,1,0.56,0.00,0.05,0.00,0.95,0.00,0.67,0.00,3.41
2086,1,0.14,0.00,0.11,0.00,0.89,0.00,0.67,0.00,0.85
2087,1,1.19,0.00,0.11,0.00,0.89,0.00,0.67,0.00,7.20
2088,1,1.14,0.00,0.05,0.00,0.95,0.00,0.67,0.00,6.87
2089,1,0.30,0.00,0.10,0.00,0.90,0.00,0.67,0.00,1.83
2090,1,1.74,0.00,0.02,0.00,0.98,0.00,0.67,0.00,10.50
2091,1,1.64,0.39,0.05,0.00,0.95,0.00,0.67,0.00,10.36
2092,1,1.32,0.07,0.00,0.07,1.00,0.00,0.67,0.00,9.49
2093,1,0.72,0.02,0.00,0.02,1.00,0.00,0.67,0.00,4.74
2094,1,0.75,0.04,0.00,0.04,1.00,0.00,0.67,0.00,5.45
2095,1,1.02,1.02,0.15,0.00,0.85,0.00,0.67,0.00,9.40
2096,1,0.57,0.57,0.04,0.00,0.96,0.00,0.67,0.00,3.92
2097,1,0.75,0.00,0.19,0.00,0.81,0.00,0.67,0.00,4.53
2098,1,10.78,0.00,0.02,0.00,0.98,0.00,0.67,0.00,65.09
2099,1,1.47,0.24,0.05,0.03,0.95,0.00,0.67,0.00,9.83
2100,1,3.94,0.12,0.00,0.12,1.00,0.00,0.67,0.00,26.33
2101,1,1.29,0.00,0.04,0.00,0.96,0.00,0.67,0.00,7.77
2102,1,4.47,0.00,0.02,0.00,0.98,0.00,0.67,0.00,27.00
2103,1,0.35,0.00,0.22,0.00,0.78,0.00,0.67,0.00,2.09
2104,1,0.69,0.00,0.27,0.00,0.73,0.00,0.67,0.00,4.16
2105,1,0.72,0.00,0.15,0.00,0.85,0.00,0.67,0.00,4.32
2106,1,1.06,0.00,0.05,0.00,0.95,0.00,0.67,0.00,6.41
2107,1,1.00,0.00,0.17,0.00,0.83,0.00,0.67,0.00,6.03
2108,1,2.10,0.00,0.10,0.00,0.90,0.00,0.67,0.00,12.67
2109,1,0.31,0.00,0.04,0.00,0.96,0.00,0.67,0.00,1.85
2110,1,0.89,0.00,0.18,0.00,0.82,0.00,0.67,0.00,5.37
2111,1,1.26,0.00,0.02,0.00,0.98,0.00,0.67,0.00,7.63
2112,1,0.30,0.00,0.05,0.00,0.95,0.00,0.67,0.00,1.82
2113,1,0.62,0.62,0.05,0.00,0.95,0.00,0.67,0.00,4.35
2114,1,4.61,0.00,0.02,0.00,0.98,0.00,0.67,0.00,27.85
2115,1,6.11,0.00,0.02,0.00,0.98,0.00,0.67,0.00,36.88
2116,1,0.31,0.00,0.05,0.00,0.95,0.00,0.67,0.00,1.84
2117,1,0.83,0.00,0.05,0.00,0.95,0.00,0.67,0.00,5.02
2118,1,0.31,0.00,0.01,0.00,0.99,0.00,0.67,0.00,1.90
2119,1,2.01,0.57,0.05,0.00,0.95,0.00,0.67,0.00,12.84
2120,1,0.33,0.00,0.05,0.00,0.95,0.00,0.67,0.00,2.01
2121,1,1.40,1.11,0.06,0.00,0.94,0.00,0.67,0.00,9.84
2122,1,0.72,0.02,0.03,0.02,0.97,0.00,0.67,0.00,4.72
2123,1,2.43,0.00,0.05,0.00,0.95,0.00,0.67,0.00,14.66
2124,1,5.85,0.00,0.02,0.00,0.98,0.00,0.67,0.00,35.30
2125,1,2.56,0.18,0.20,0.18,0.80,0.00,0.67,0.00,19.31
2126,1,13.17,0.24,0.47,0.00,0.53,0.00,0.67,0.00,82.02
2127,1,1.26,0.00,0.02,0.00,0.98,0.00,0.67,0.00,7.62
2128,1,0.23,0.01,0.07,0.01,0.93,0.00,0.67,0.00,1.67
2129,1,4.48,0.03,0.01,0.03,0.99,0.00,0.67,0.00,27.70
2130,1,1.47,0.00,0.11,0.00,0.89,0.00,0.67,0.00,8.86
2131,1,0.89,0.00,0.20,0.00,0.80,0.00,0.67,0.00,5.36
2132,1,0.85,0.75,0.15,0.00,0.85,0.00,0.67,0.00,7.50
2133,1,2.21,2.21,0.16,0.00,0.84,0.00,0.67,0.00,21.05
2134,1,0.14,0.00,0.11,0.00,0.89,0.00,0.67,0.00,0.85
2135,1,0.87,0.73,0.30,0.00,0.70,0.00,0.67,0.00,10.04
2136,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
2137,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
2138,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
2139,1,0.33,0.05,0.00,0.05,1.00,0.00,0.67,0.00,2.96
